"All product attributes listed above are accessible by the <em>{attribute_name}</em> construction.<br />Additional variables:<br /><em>{product_url}</em>&nbsp;- link to product page<br /><em>{thumbnail_url}</em>&nbsp;- product thumbnail URL<br /><em>{price}</em>&nbsp;- product price","All product attributes listed above are accessible by the <em>{attribute_name}</em> construction.<br />Additional variables:<br /><em>{product_url}</em>&nbsp;- link to product page<br /><em>{thumbnail_url}</em>&nbsp;- product thumbnail URL<br /><em>{price}</em>&nbsp;- product price"
"In milliseconds, e.g. 500 means 0.5 of second","In milliseconds, e.g. 500 means 0.5 of second"
"Interface Settings","Interface Settings"
"Number of products to display","Number of products to display"
"Only attributes of <strong>text</strong> and <strong>varchar</strong> type are available","Only attributes of <strong>text</strong> and <strong>varchar</strong> type are available"
"Open link in a new window","Open link in a new window"
"Preloader image","Preloader image"
"Query delay","Query delay"
"Search attributes","Search attributes"
"Search Autocomplete and Suggest","Search Autocomplete and Suggest"
"Search entire store here...","Search entire store here..."
"Search result item template","Search result item template"
"Search results footer","Search results footer"
"Search results header","Search results header"
"Search","Search"
"Search Site","Search Site"
"Show products","Show products"
"Thumbnail width (px)","Thumbnail width (px)"
"Use Advanced Search as search engine","Use Advanced Search as search engine"
"This option requires <a href=""http://ecommerce.aheadworks.com/magento-extensions/advanced-search.html"" target=""_blank"">aheadWorks Advanced Search extension</a> to be installed and configured properly.","This option requires <a href=""http://ecommerce.aheadworks.com/magento-extensions/advanced-search.html"" target=""_blank"">aheadWorks Advanced Search extension</a> to be installed and configured properly."
"Show out of stock products","Show out of stock products"
"Search by tags","Search by tags"
"Nothing found notice","Nothing found notice"
"Suggested keywords: ","Suggested keywords: "
"%s(%s)","%s(%s)"
"Show suggested keywords","Show suggested keywords"
"All Results","All Results"
"Show ""All Result"" button","Show ""All Result"" button"