"-- Please Select --","-- Selecteer a.u.b. --"
"------","------"
"---------","---------"
"ALT Text","ALT tekst"
"Account Bottom","Account onder"
"Account Dashboard Bottom","Account dashboard onder"
"Account Dashboard Top","Account dashboard Boven"
"Account Login Bottom","Account login onder"
"Account Login Top","Account login boven"
"Account Top","Account boven"
"Action","Actie"
"Add Group","Groep toevoegen"
"Add Slide","Toevoegen slide"
"All Footer Bottom","Elke footer onder"
"All Footer Top","Elke footer boven"
"All Left Sidebar Bottom","Elke linkse sidebar onder"
"All Left Sidebar Top","Elke linkse sidebar boven"
"All Main Content Bottom","Elke hoofdcontent onder"
"All Main Content Top","Elke hoofdcontent boven"
"All Right Sidebar Bottom","Elke rechtse sidebar onder"
"All Right Sidebar Top","Elke rechtse sidebar boven"
"Animation Direction","Animatie richting"
"Animation Duration","Animatie duur"
"Animation Type","Animatie type"
"Are you sure?","Weet u het zeker?"
"Auto Start Animation","Auto start animatie"
"Autoplay Video","Autoplay video"
"CMS Template Tag (content editor)","CMS Template Tag (content editor)"
"Caption Animation","Omschrijving animatie"
"Caption Background Color","Omschrijving achtergrond kleur"
"Caption Default Text Color","Omschrijving standaard tekst kleur"
"Caption Opacity","Omschrijving transparantie"
"Caption Position","Omschrijving positie"
"Caption Style","Omschrijving stijl"
"Caption","Omschrijving"
"Cart Bottom","Winkelwagen onder"
"Cart Top","Winkelwagen boven"
"Category And Product Selections In Group Settings","categorie en product selecties in de groep instellingen"
"Change status","Wijzig status"
"Checkout Based Positions","Checkout gebaseerde posities"
"Checkout Cart Bottom","Winkewagen onder"
"Checkout Cart Top","Winkelwagen boven"
"Checkout Page Bottom","Checkout pagina onder"
"Checkout Page Top","Checkout pagina boven"
"Click Here To Add Products","Klik hier om producten toe te voegen"
"Code","Code"
"Create a Group","Creeer een groep"
"Custom CSS","Aangepaste CSS"
"Customer Based Positions","Klant gebaseerde posities"
"Delete","Verwijder"
"Disabled","Uitgeschakeld"
"Display on Categories","Toon op categorieen"
"Display on Pages","Toon op pagina's"
"Display on Product Pages","Toon op product pagina's"
"Due to limitations of Magento it's only possible to add a slider group to the top or the bottom of a selected product page. Placing a slider on a specific location on a product page will require template customization.","Vanwege beperkingen van Magento is het alleen mogelijk een slider groep boven of onderaan een product pagina toe te voegen. Het toevoegen van een slider op een specifieke locatie op een product pagina vraagt om een template aanpassing."
"Easing Effect","Easing effect"
"Edit Group '%s'","Wijzig groep '%s'"
"Edit Slide '%s'","Bewerk slide '%s'"
"Edit","Wijzig"
"Edit","Wijzig"
"Enable Them In The General Settings If Desired","Schakel ze in in de algemene instellingen indien gewenst"
"Enabled","Ingeschakeld"
"Flexslider - Slides","Flexslider - Slides"
"Footer Bottom","Footer onder"
"Footer Top","Footer boven"
"General Information","Algemene informatie"
"General Settings","Algemene instellingen"
"General","Algemeen"
"Group Categories","Groep categorieen"
"Group Pages","Groep pagina's"
"Group Products","Groep producten"
"Group was successfully deleted","Groep is succesvol verwijderd"
"Group was successfully saved","Groep is succesvol opgeslagen"
"Group","Groep"
"Groups - Flexslider","Groepen - Flexslider"
"Hosted Image Thumb URL","Gehoste thumbnail URL"
"Hosted Image URL","Gehoste afbeelding URL"
"ID","ID"
"Image or Video","Afbeelding of video"
"Image","Afbeelding"
"Information","Informatie"
"Is Enabled","Ingeschakeld"
"Left Sidebar Bottom","Linkse sidebar onder"
"Left Sidebar Top","Linkse sidebar boven"
"Loader Color","Loader kleur"
"Loader Gutter Color","Loader goot kleur"
"Loader Opacity","Loader transparantie"
"Loader Position","Loader positie"
"Loader Style","Loader stijl"
"Loop Slider","Herhalende slider"
"Main Content Bottom","Hoofdcontent onder"
"Main Content Top","Hoofdcontent boven"
"Maximum Width Slider","Maximale breedte slider"
"Navigation Arrows Color","Navigatie pijlen kleur"
"Navigation Arrows Position","Navigatie pijlen positie"
"Navigation Arrows Style","Navigatie pijlen stijl"
"Navigation Style","Navigatie stijl"
"Open Chooser","Open selector"
"Overlay Background Color","Overlay achtergrond kleur"
"Overlay Hover Color","Overlay actieve kleur"
"Overlay Opacity","Overlay transparantie"
"Overlay Position","Overlay positie"
"Overlay Text Color","Overlay tekst kleur"
"Pagination Color","Paginatie kleur"
"Pagination Position","Paginatie positie"
"Pagination Style","Paginatie stijl"
"Pause Slider On Hover","Pauzeer slider bij hover"
"Please select group(s)","Selecteer a.u.b. groep(en)"
"Please select slide(s)","Selecteer a.u.b. slide(s)"
"Position On Selected CMS Pages, Categories or Products","Positie op geselecteerde CMS pagina's, categorieen of producten"
"Position","Positie"
"Random Order","Willekeurige volgorde"
"Right Sidebar Bottom","Rechtse sidebar onder"
"Right Sidebar Top","Rechtse sidebar boven"
"Root","Root"
"Save And Continue Edit","Opslaan en verder bewerken"
"Show Loader (progressbar)","Toon loader (progressiebar)"
"Show Navigation Arrows","Toon navigatie pijlen"
"Show On All Pages (Global)","Toon op alle pagina's (global)"
"Show On Product Pages (SKU)","Toon op product pagina's (artikelnummer)"
"Show Pagination","Toon paginatie"
"Slide Duration","Slide duur"
"Slide End Date","Slide einddatum"
"Slide Start Date","Slide startdatum"
"Slide was saved","Slide is opgeslagen"
"Slide","Slide"
"Slider Effects","Slider effecten"
"Slider End Date","Slider einde datum"
"Slider Settings","Slider instellingen"
"Slider Start Date","Slider start datum"
"Slider Style","Slider stijl"
"Slider Theme","Slider thema"
"Slider Type","Slider type"
"Slides - Flexslider","Slides - Flexslider"
"Slides of this Group","Slides van deze groep"
"Smooth Height","Vloeiende hoogte"
"Sort Order","Sorteervolgorde"
"Status","Status"
"Stop Auto Slide On Navigation","Stop auto slide bij navigatie"
"Template Code (template file)","Template Code (template file)"
"The Following Positions Will Discard Any CMS,","De volgende posities negeren elke CMS,"
"The caption is set per slide but these settings control their appearance","De omschrijving wordt ingesteld per slide maar deze instellingen bepalen het uiterlijk"
"The slide was deleted","De slide is verwijderd"
"There was no data to save","Er waren geen wijzigingen om op te slaan"
"These Positions Are Disabled By Default For Optimal Performance","Deze posities zijn standaard uitgezet voor optimale performance"
"Thumbnail Width","Thumbnail breedte"
"Title","Titel"
"Total of %d record(s) were successfully deleted","Totaal van %d record(s) zijn succesvol verwijderd"
"Total of %d record(s) were successfully updated","Totaal van %d record(s) zijn succesvol bijgewerkt"
"URL Target","URL doel"
"URL","URL"
"Unable to find group to save","Niet gelukt de groep te vinden om op te slaan"
"Use Code Inserts","Gebruik code inserts"
"Use External Image Hosting","Gebruik externe hosting"
"Video ID","Video ID"
"Visible In","Zichtbaar in"
"XML Code (layout xml code)","XML Code (layout xml code)"
"a unique identifier that is used to inject the slide group via XML","een unieke identificatie die gebruikt wordt om een groep toe te voegen via XML"
"allow slider to scale height if slider images differ in height","sta de slider toe de hoogte aan te passen als de slides in hoogte verschillen"
"enter the video id of your YouTube or Vimeo video (not the full link)","voeg het video id van je YouTube of Vimeo video toe (niet de volledige link)"
"enter your custom css here","voeg hier je aangepaste css toe"
"in milliseconds (default is 600)","in milliseconden (standaard is 600)"
"in milliseconds (default is 7000)","in milliseconden (standaard is 7000)"
"instead of uploading images you can host your images on a image hoster and just enter the link to the image and thumbnail","in plaats van het uploaden van afbeeldingen kan je ook de afbeeldingen bij een externe hoster plaatsen en hier de link naar de afbeelding en thumbnail toe te voegen"
"leave empty to always show this group","laat leeg om deze groep altijd te tonen"
"leave empty to always show this slide","laat leeg om deze slide altijd te tonen"
"maximum width of the slider in pixels, leave empty or 0 for full responsive width","maimale breedte van de slider in pixels, laat leeg of gebruik 0 voor volledige responsive breedte"
"pause the slider and start the video automatically","pauzeer de slider en start de video automatisch"
"set the sort order in case of multiple sliders on one page","stel te sortering in bij gebruik van meerdere sliders op dezelfde pagina"
"set the sort order of the slides as random or use the order configured in the slides","stel de sorteervolgorde willekeurig in of gebruik de volgorde zoals ingesteld in de slides"
"should the caption animate into the slide","moet de omschrijving geanimeerd verschijnen"
"width of the images in carousel, should not be larger then thumbnail upload width in general settings (default is 200)","breedte van de afbeeldingen in de carousel, zou niet breder moete zijn dan de breedte van de thumbnail uploads in de algemene instellingen (standaard is 200)"
"you can use the same URL as above but for performance reasons it's better to upload a seperate small thumbnail of this image, the thumbnails are used in carousels","je kan dezelfde url gebruiken als hierboven maar voor performance redenen is het beter een aparte thumbnail met kleinere afmetingen toe te voegen, thumbnails worden gebruikt in carousels"