"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir essa regra. Por favor, avalie o log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar essa regra. Por favor, avalie o log e tente novamente."
"Apply Rules","Aplicar Regras"
"Bottom-Center","Inferior-Centro"
"Bottom-Left","Inferior-Esquerda"
"Bottom-Right","Inferior-Direita"
"Catalog","Catálogo"
"Category Page Label","Rótulo da Página de Categorias"
"Click here to select","Clique aqui para selecionar"
"Conditions Combination","Combinação de Condições"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Customer Groups","Grupos de Clientes"
"Date Expire","Data de Término"
"Date Start","Data de Início"
"Description","Descrição"
"Disallowed file type.","Tipo de arquivo não permitido."
"Display","Exibir"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"From Date","A Partir da Data"
"General Information","Informações Gerais"
"ID","ID"
"Image","Imagem"
"Image Path","Caminho da Imagem"
"Inactive","Inativo"
"Middle-Center","Meio-Centro"
"Middle-Left","Meio-Esquerda"
"Middle-Right","Meio-Direita"
"New Rule","Nova Regra"
"No","Não"
"On Sale Label Rule","Na Regra do Rótulo de Venda (On Sale Label Rule)"
"On Sale Label Rules","Nas Regras do Rótulo de Venda (On Sale Label Rules)"
"Position","Posição"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Product Page Label","Rótulo da Página do Produto"
"Promotions","Promoções"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e Continuar"
"Status","Status"
"Text","Texto"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Existem regras que foram alteradas porém não foram aplicadas. Por favor, clique em Aplicar Regras para vê-la em funcionamento no catálogo."
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","A regra foi aplicada."
"This rule no longer exists.","A regra não existe mais."
"To Date","Até a Data"
"Top-Center","Topo-Centro"
"Top-Left","Topo-Esquerda"
"Top-Right","Topo-Direita"
"Unable to apply rules.","Não foi possível aplicar as regras."
"Unable to find a rule to delete.","Não foi possível achar uma regra para excluir."
"Websites","Websites"
"Website","Website"
"Wrong rule specified.","Regra especificada incorretamente."
"Yes","Sim"
"You can use predefined values in this field. Please refer to extension manual.","Você pode usar valores pré-definidos nesse campo. Por favor, verifique o manual do módulo."
"Threshold (%)","Desconto de Entrada (Threshold) (%)"
"Discount threshold to make labels appear (e.g. 10)","Desconto inicial para exibir os rótulos (ex. 10)"
"Product On Sale Label","Rótulo do Produto em Promoção"
"Category On Sale Label","Rótulo da Categoria em Promoção"
"Product New Label","Novo Rótulo de Produto"
"Category New Label","Novo Rótulo de Categoria"
"Days","Dias"
"Overrides On Sale Label","Sobreposições no Rótulo da Promoção"
"Overrides Native Product ""New"" Period","Sobrepor o Período do Rótulo ""Novo"" Original"
"On Sale","Em Promoção"
"Manage Rules","Gerenciar Rótulos"
"On Sale Rules","Rótulos de Promoção"
"Category Label","Rótulo da Categoria"
"Product Label","Rótulo do Produto"
"Display label on product page","Exibe rótulo na página do produto"
"Product label position","Posição do rótulo do produto"
"Product page label","Rótulo da página do produto"
"Product label path","Caminho do rótulo do produto"
"Product label text","Texto do rótulo do produto"
"Display label on category page","Exibir rótulo na página da categoria"
"Category label position","Posição do rótulo da categoria"
"Category page label","Rótulo da página da categoria"
"Category label path","Caminho do rótulo da categoria"
"Category label text","Texto do rótulo da categoria"
"/img/image.png or http://domain.com/img/image.png","/img/imagem.png ou http://dominio.com/img/imagem.png"